,recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,spec
24,04d6b1fc1,17,4,4.7307,1406.25,7.3387,3937.5,"[[-0.66173637 -0.722687   -0.698688   ... -0.5540112  -0.48809376
   0.43097654]
 [-0.6574391  -0.683385   -0.6911617  ... -0.49973813 -0.45029533
   0.62841374]
 [-0.64024997 -0.5261769  -0.6610566  ... -0.28264567 -0.29910162
   1.4181623 ]
 ...
 [-0.8706097  -0.8786874  -0.8796502  ... -0.8540747  -0.8747357
  -0.88000286]
 [-0.8729501  -0.87858766 -0.8796967  ... -0.85983914 -0.8752783
  -0.8802058 ]
 [-0.87353516 -0.87856275 -0.8797084  ... -0.8612803  -0.8754139
  -0.88025653]]"
25,04e70a8e3,7,1,23.5947,4687.5,26.736,11437.5,"[[-0.83981854 -0.8179016  -0.8468023  ... -0.7823941  -0.7389534
  -0.78699005]
 [-0.8373612  -0.8120674  -0.8400549  ... -0.7553914  -0.7094569
  -0.78030276]
 [-0.8275317  -0.7887307  -0.8130655  ... -0.6473807  -0.5914711
  -0.7535538 ]
 ...
 [-0.8827784  -0.88248736 -0.8825283  ... -0.87517935 -0.88187
  -0.8819181 ]
 [-0.8830862  -0.882977   -0.8828373  ... -0.87942296 -0.8827684
  -0.88283974]
 [-0.8831632  -0.88309956 -0.88291454 ... -0.8804839  -0.882993
  -0.8830702 ]]"
26,0509303a5,6,1,23.7013,562.5,25.8453,4406.25,"[[-0.8101263  -0.82261807 -0.7975754  ... -0.8689292  -0.7982642
  -0.81800365]
 [-0.81233644 -0.8096615  -0.7778447  ... -0.8666509  -0.78295493
  -0.80017954]
 [-0.821177   -0.75783515 -0.6989221  ... -0.857538   -0.7217179
  -0.7288833 ]
 ...
 [-0.8796154  -0.8812733  -0.8819297  ... -0.8820995  -0.8809268
  -0.882141  ]
 [-0.8798129  -0.88152945 -0.88245976 ... -0.88265955 -0.8813948
  -0.88197374]
 [-0.8798622  -0.88159347 -0.8825923  ... -0.88279957 -0.8815118
  -0.8819319 ]]"
27,050d0ca85,3,1,49.92,1031.25,50.6613,2812.5,"[[-0.84780514 -0.8567533  -0.832792   ... -0.83092684 -0.7607334
  -0.8293788 ]
 [-0.84547335 -0.8482009  -0.82238036 ... -0.81525236 -0.7392246
  -0.82441103]
 [-0.8361464  -0.8139913  -0.7807338  ... -0.7525546  -0.6531896
  -0.8045399 ]
 ...
 [-0.8830001  -0.8835453  -0.8822492  ... -0.88346857 -0.8833761
  -0.8831757 ]
 [-0.8833916  -0.8836417  -0.88262415 ... -0.8834928  -0.88350654
  -0.8832422 ]
 [-0.88348955 -0.88366586 -0.8827179  ... -0.8834989  -0.8835391
  -0.8832589 ]]"
28,053aeb7bd,23,4,9.8569,6459.96,17.7807,11627.9,"[[  7.828821    12.729069    12.114434   ... 181.25111     30.475483
   10.537876  ]
 [  8.7147      14.676201    13.42194    ... 180.97212     30.824589
   10.814177  ]
 [ 12.258215    22.464727    18.651966   ... 179.85602     32.22101
   11.91938   ]
 ...
 [ -0.8811292   -0.87849015  -0.8827046  ...  -0.88247013  -0.88200027
   -0.88023734]
 [ -0.8824033   -0.8800604   -0.88308364 ...  -0.8825488   -0.8825579
   -0.88174826]
 [ -0.88272184  -0.8804529   -0.88317835 ...  -0.8825685   -0.88269734
   -0.88212603]]"
29,053aeb7bd,23,4,0.952,6459.96,8.8758,11627.9,"[[ 1.3652287   0.8672621   0.39325047 ... 30.782614   24.630335
  18.68588   ]
 [ 1.3066527   0.8081959   0.5024456  ... 31.617218   26.720165
  21.084728  ]
 [ 1.0723487   0.57193094  0.9392258  ... 34.955647   35.079502
  30.68012   ]
 ...
 [-0.88264406 -0.8829616  -0.88195974 ... -0.88278687 -0.8825694
  -0.88259053]
 [-0.8828571  -0.8827139  -0.8824338  ... -0.8831683  -0.88310724
  -0.88300943]
 [-0.88291025 -0.882652   -0.88255227 ... -0.8832637  -0.8832417
  -0.88311404]]"
30,055088446,14,1,58.992,3750.0,59.264,6468.75,"[[-0.72299075 -0.36248836  0.11438084 ... -0.7334001  -0.7262136
  -0.7920076 ]
 [-0.71329904 -0.33121213  0.08930501 ... -0.7287301  -0.719797
  -0.79148334]
 [-0.674532   -0.20610717 -0.01099804 ... -0.71005    -0.6941311
  -0.789386  ]
 ...
 [-0.87782675 -0.879949   -0.8785544  ... -0.8797068  -0.87894374
  -0.8782734 ]
 [-0.87805945 -0.88034624 -0.8798593  ... -0.88053966 -0.8799084
  -0.8784152 ]
 [-0.87811756 -0.88044554 -0.88018554 ... -0.8807479  -0.8801496
  -0.8784507 ]]"
31,055d22517,10,1,47.5835,947.461,50.0274,10852.7,"[[-0.7123352  -0.6662863  -0.6744314  ...  0.25033623  0.68952936
   1.208793  ]
 [-0.6745602  -0.63997096 -0.6654455  ...  0.2091213   0.576762
   1.2460951 ]
 [-0.52346027 -0.53470933 -0.62950194 ...  0.04426174  0.12569311
   1.395303  ]
 ...
 [-0.8657297  -0.8805076  -0.88159734 ... -0.88055587 -0.88107455
  -0.88100225]
 [-0.86563164 -0.8806697  -0.8818019  ... -0.88060063 -0.8812874
  -0.8814663 ]
 [-0.8656071  -0.8807102  -0.88185316 ... -0.8806117  -0.8813406
  -0.8815824 ]]"
32,057802c25,11,1,4.2202,1808.79,5.358,5684.77,"[[ 1.0857872   0.9674576   0.13108778 ... -0.23413388  1.0801257
   0.3631062 ]
 [ 1.1015255   1.0271736   0.18139489 ... -0.1729441   1.333457
   0.5242677 ]
 [ 1.1644795   1.2660371   0.38262343 ...  0.07181495  2.3467822
   1.1689138 ]
 ...
 [-0.8805725  -0.8816283  -0.8822225  ... -0.8812217  -0.8816699
  -0.8810091 ]
 [-0.8818654  -0.8826532  -0.8825456  ... -0.88197625 -0.8820881
  -0.88154244]
 [-0.88218856 -0.8829095  -0.88262635 ... -0.8821649  -0.88219273
  -0.88167584]]"
33,05b9c974c,2,1,31.984,468.75,33.76,3000.0,"[[-0.8020384  -0.81698066 -0.8137476  ... -0.7994684  -0.84214187
  -0.8205443 ]
 [-0.80015016 -0.8202321  -0.81511414 ... -0.7975481  -0.8389315
  -0.81852907]
 [-0.79259723 -0.83323765 -0.8205802  ... -0.78986716 -0.82609016
  -0.810468  ]
 ...
 [-0.88209355 -0.8811079  -0.87127924 ... -0.88086796 -0.88133717
  -0.8814003 ]
 [-0.88213176 -0.88164306 -0.8755586  ... -0.8812423  -0.88144726
  -0.8814217 ]
 [-0.88214123 -0.8817768  -0.87662846 ... -0.8813358  -0.88147473
  -0.88142705]]"
34,05f8c0f2f,4,1,26.5867,2343.75,28.4427,4218.75,"[[-0.423203   -0.58020675 -0.56533486 ...  0.07030088  0.7521226
   0.03901957]
 [-0.49518904 -0.61929065 -0.59646165 ... -0.04451216  0.57505816
  -0.06060442]
 [-0.7831332  -0.77562636 -0.72096896 ... -0.5037644  -0.13319923
  -0.45910066]
 ...
 [-0.8815264  -0.8827754  -0.8824554  ... -0.8820647  -0.88137656
  -0.883229  ]
 [-0.88258886 -0.88322514 -0.8831128  ... -0.88238627 -0.8824948
  -0.8834787 ]
 [-0.88285446 -0.88333756 -0.8832771  ... -0.8824667  -0.8827744
  -0.8835412 ]]"
35,067f49f8b,0,1,53.296,5906.25,54.0907,8250.0,"[[-0.7816516  -0.77364486 -0.84825957 ... -0.7775712  -0.6246905
  -0.62871593]
 [-0.78061354 -0.76089615 -0.8482258  ... -0.7640414  -0.57636124
  -0.5797065 ]
 [-0.77646106 -0.70990115 -0.8480904  ... -0.70992213 -0.3830441
  -0.38366875]
 ...
 [-0.8785255  -0.8768443  -0.8607031  ... -0.87831694 -0.8777923
  -0.8776218 ]
 [-0.8794824  -0.87791646 -0.8688212  ... -0.87832487 -0.8781954
  -0.8782588 ]
 [-0.8797216  -0.8781846  -0.87085074 ... -0.87832695 -0.87829614
  -0.878418  ]]"
36,068f1b8e2,12,1,22.864,562.5,26.0,3281.25,"[[-0.79171807 -0.8217622  -0.8256602  ... -0.8331734  -0.8411637
  -0.8480402 ]
 [-0.7835218  -0.8180407  -0.8253511  ... -0.8197742  -0.8251604
  -0.8413438 ]
 [-0.7507367  -0.80315465 -0.8241149  ... -0.7661774  -0.7611471
  -0.8145585 ]
 ...
 [-0.8800471  -0.87999403 -0.8825524  ... -0.8822566  -0.87852037
  -0.8818983 ]
 [-0.8814342  -0.88139844 -0.88291246 ... -0.8826641  -0.8801774
  -0.88245183]
 [-0.881781   -0.8817495  -0.8830025  ... -0.88276595 -0.88059163
  -0.88259023]]"
37,06a0c48c9,0,1,57.2213,5906.25,58.016,8250.0,"[[ 0.080132   -0.10432535  0.28351218 ...  0.2706853   0.52341133
  -0.42079931]
 [ 0.05429199 -0.01291364  0.3537754  ...  0.39567578  0.7957748
  -0.3851811 ]
 [-0.04906794  0.3527332   0.6348284  ...  0.89563763  1.8852288
  -0.24270812]
 ...
 [-0.88202256 -0.88199043 -0.8815564  ... -0.8824316  -0.882286
  -0.8824797 ]
 [-0.8823353  -0.8818724  -0.8818561  ... -0.8820386  -0.8826201
  -0.882529  ]
 [-0.88241345 -0.8818429  -0.881931   ... -0.8819403  -0.8827036
  -0.8825413 ]]"
38,06c44d203,3,1,1.28,1031.25,2.0213,2812.5,"[[ 3.4527392   1.210157    1.3664595  ... -0.13178785  2.0780728
   0.29408568]
 [ 4.2550783   1.8155274   2.055894   ... -0.17655817  2.185082
   0.3696911 ]
 [ 7.4644327   4.237009    4.813631   ... -0.3556395   2.6131175
   0.672113  ]
 ...
 [-0.87835014 -0.8796578  -0.8801042  ... -0.8820174  -0.88091874
  -0.8812085 ]
 [-0.87808347 -0.87995875 -0.8811021  ... -0.8817974  -0.88110447
  -0.8812035 ]
 [-0.8780168  -0.8800339  -0.88135153 ... -0.88174236 -0.88115084
  -0.88120216]]"
39,073e4d908,12,1,12.496,562.5,15.632,3281.25,"[[ 0.40560472  0.43452466  2.8920689  ... -0.8155078  -0.7635853
  -0.7964933 ]
 [ 0.45886868  0.5827104   2.8206866  ... -0.8011261  -0.7586079
  -0.764219  ]
 [ 0.67192477  1.1754532   2.5351555  ... -0.74359936 -0.7386984
  -0.63512176]
 ...
 [-0.88309747 -0.88296854 -0.8831641  ... -0.8831579  -0.88349164
  -0.8834905 ]
 [-0.883331   -0.88302404 -0.8834219  ... -0.883169   -0.8835331
  -0.88353044]
 [-0.88338935 -0.8830379  -0.88348633 ... -0.88317186 -0.8835435
  -0.8835404 ]]"
40,078788674,15,1,41.36,93.75,44.704,1125.0,"[[-0.85758525 -0.8514458  -0.8703027  ... -0.7878086  -0.8066472
  -0.8022151 ]
 [-0.85135937 -0.8435862  -0.8668295  ... -0.79077554 -0.81150496
  -0.80406255]
 [-0.82645565 -0.81214774 -0.8529369  ... -0.80264354 -0.8309358
  -0.8114522 ]
 ...
 [-0.88398033 -0.88423723 -0.88399994 ... -0.8842666  -0.88424784
  -0.8842307 ]
 [-0.88395625 -0.8841789  -0.88417065 ... -0.8840696  -0.8842472
  -0.8843592 ]
 [-0.88395023 -0.8841643  -0.8842133  ... -0.88402045 -0.884247
  -0.88439125]]"
41,07d1687e0,8,1,0.064,3750.0,4.1867,5531.25,"[[-0.02517898 -0.6454144  -0.3607579  ... -0.7328232  -0.70799255
   0.643137  ]
 [-0.12098947 -0.66629606 -0.4242194  ... -0.7340778  -0.7078366
   0.49526185]
 [-0.5042315  -0.7498227  -0.6780655  ... -0.73909646 -0.7072129
  -0.09623858]
 ...
 [-0.8822366  -0.88267905 -0.88138556 ... -0.8808328  -0.8811147
  -0.8819151 ]
 [-0.88227075 -0.88242745 -0.8817964  ... -0.8808543  -0.8817466
  -0.8823908 ]
 [-0.88227934 -0.8823645  -0.8818992  ... -0.8808596  -0.8819046
  -0.8825097 ]]"
